,K,I,KNN,GP
0.0,"{0: 13.488662010497803, 1: 7.064623594204465, 2: 8.614543229778661, 3: 9.578221600261898, 4: 13.238440048206535, 5: 14.009677211749612}","{0: 12.536053503497518, 1: 9.738801252510557, 2: 10.823049429354024, 3: 9.64373226627611, 4: 8.781775782807719, 5: 13.590888590834147}","{0: 12.707141487282632, 1: 10.593403826423234, 2: 14.58172889806119, 3: 12.837436202829979, 4: 11.823084183525514, 5: 16.93349843876179}","{0: 10.847154239768983, 1: 11.599119425704984, 2: 12.914003340797477, 3: 12.398975833269484, 4: 8.163456286574805, 5: 13.439545266900076}"
0.0027472527472527475,"{0: 4.090277777777778, 1: 6.068033307907432, 2: 8.206877701500185, 3: 9.570620391558604, 4: 6.157365030934827, 5: 7.4227074328333655}","{0: 6.020124218801473, 1: 7.559632833733597, 2: 8.37171149080053, 3: 10.533468001279275, 4: 6.293927251578499, 5: 8.357869714039959}","{0: 7.1993638281168835, 1: 9.481477012404962, 2: 11.001318190158742, 3: 13.081771256022288, 4: 8.969106920030402, 5: 8.118424676530108}","{0: 5.038551042506622, 1: 6.245067997117812, 2: 7.197657389873503, 3: 9.728680390613299, 4: 6.185474707254876, 5: 7.456266174433502}"
0.005494505494505495,"{0: 6.163594284053642, 1: 16.004871653495456, 2: 13.535521592451664, 3: 17.222749011857637, 4: 18.38277811851651, 5: 21.926451925551856}","{0: 10.622011142139469, 1: 17.781592986491745, 2: 12.498390228608296, 3: 22.199667084413345, 4: 22.512119729362542, 5: 22.979837932443164}","{0: 15.373571953772258, 1: 24.966708280861884, 2: 18.620487288869313, 3: 25.295440226920103, 4: 25.908033447632558, 5: 23.88267690937387}","{0: 13.571332166873981, 1: 17.037709479204743, 2: 10.536900207031636, 3: 21.509160676030064, 4: 19.290929989453492, 5: 20.761160677780534}"
0.008241758241758242,"{0: 3.1030190557361355, 1: 6.365478281782608, 2: 7.4722870527218275, 3: 9.142495469461183, 4: 4.744426668339729, 5: 5.7657015287450095}","{0: 4.052909302205219, 1: 7.963324500234975, 2: 7.0696426946723925, 3: 8.162023783603706, 4: 5.953567616845226, 5: 5.224583562848418}","{0: 4.5434072790957085, 1: 7.987038787521881, 2: 7.363935914291023, 3: 9.577165951728196, 4: 5.170109507736232, 5: 5.500833050592217}","{0: 4.533022158230115, 1: 7.061537670273097, 2: 6.031597042810346, 3: 9.199636966975623, 4: 4.701883814519843, 5: 5.289019093082422}"
0.01098901098901099,"{0: 4.4218389562714835, 1: 9.029166340717325, 2: 8.877104477647942, 3: 13.193889463856936, 4: 6.545864670841958, 5: 10.609676126472932}","{0: 5.078700521301186, 1: 10.924418707743293, 2: 11.005706813372043, 3: 13.22644052324685, 4: 7.656370984345242, 5: 11.926140814177424}","{0: 6.260798099975554, 1: 14.110369553953872, 2: 12.312919396168551, 3: 17.14081149184583, 4: 8.821923724388514, 5: 12.243598033271436}","{0: 5.3694388112502835, 1: 11.954120146768767, 2: 8.211288532693153, 3: 13.623133234776683, 4: 7.162380800841027, 5: 11.655607208555262}"
0.013736263736263736,"{0: 11.310631520987267, 1: 12.531700692263682, 2: 12.187583858661933, 3: 11.280302451215766, 4: 9.07895692527895, 5: 8.902944910970042}","{0: 10.585998250842536, 1: 14.515650730492288, 2: 15.20130634178873, 3: 11.798204490874818, 4: 9.108632426297412, 5: 11.85619677976539}","{0: 9.292646237697062, 1: 15.062291455105155, 2: 21.446213135661147, 3: 12.585660750039958, 4: 7.780181554894571, 5: 11.98454856556838}","{0: 8.367129362509907, 1: 10.697168398616322, 2: 9.624060899794133, 3: 8.875202051609778, 4: 8.109582614601216, 5: 10.460454557814739}"
0.019230769230769232,"{0: 10.855133460205948, 1: 10.554485068072028, 2: 6.836866247011062, 3: 15.432071926999441, 4: 10.912880007807663, 5: 5.533809105548184}","{0: 10.321504627524574, 1: 10.293384489614704, 2: 7.136877944501663, 3: 15.413894884436823, 4: 15.786003442251163, 5: 7.959892578390047}","{0: 9.561688172466965, 1: 11.658394063129562, 2: 11.584292501002565, 3: 14.842586303209224, 4: 14.637905192618952, 5: 10.713003333025652}","{0: 10.829163244650081, 1: 10.554486677328972, 2: 6.780875386673682, 3: 15.452666123686967, 4: 10.936595355197497, 5: 7.478842721051991}"
0.02197802197802198,"{0: 5.77074956065091, 1: 7.202098825195818, 2: 6.117943853874795, 3: 6.687750970336563, 4: 6.276470294309754, 5: 4.185780803674258}","{0: 3.998001029945924, 1: 7.396243079226243, 2: 8.235540604112327, 3: 5.6572233146469095, 4: 5.5157213086253885, 5: 4.895167334327968}","{0: 4.973486849891647, 1: 8.283410901192054, 2: 9.54076848845569, 3: 5.5016802660710775, 4: 6.607168249348409, 5: 5.957185777936503}","{0: 5.8394366863586065, 1: 5.794153400026874, 2: 4.64135765669575, 3: 3.7267180689579695, 4: 4.652243578240466, 5: 4.085175207128844}"
0.024725274725274724,"{0: 3.9886999708324873, 1: 3.0489105780022725, 2: 5.089439785610715, 3: 3.0031671450557504, 4: 3.1037327343006753, 5: 4.916021481181088}","{0: 3.5917951817910563, 1: 3.795200244174078, 2: 6.0859445466595545, 3: 3.1860544950295284, 4: 4.020757563140364, 5: 4.54341653923793}","{0: 4.719442271595111, 1: 3.7404549414575645, 2: 6.7300899015024, 3: 3.390635222861075, 4: 3.034300911560465, 5: 5.106129793163282}","{0: 3.780027674294358, 1: 3.0592021466083366, 2: 3.866748126670746, 3: 2.250859777328415, 4: 1.6643624980682277, 5: 4.01974094317066}"
0.027472527472527472,"{0: 1.3257121439280237, 1: 2.755070381475941, 2: 1.9519511077794534, 3: 3.396437198067623, 4: 1.4057608695579362, 5: 2.899820922871934}","{0: 0.9883848436765614, 1: 2.414327864475703, 2: 2.1143021359963785, 3: 4.059682443393195, 4: 1.2422444538219175, 5: 1.8859850894190633}","{0: 1.543698310684171, 1: 3.781941045982299, 2: 2.2839155635501744, 3: 5.016447073384881, 4: 1.6492725996884336, 5: 2.593144584032109}","{0: 1.0060867605059804, 1: 2.9100498230342264, 2: 1.9482617307179229, 3: 3.823931751929949, 4: 1.0608562920859341, 5: 2.9461119410059236}"
0.03021978021978022,"{0: 5.305253901328676, 1: 7.028660013018633, 2: 3.2075158042033327, 3: 7.328480156482992, 4: 5.787921511088643, 5: 4.619184892681304}","{0: 5.437323207316019, 1: 7.479285585070286, 2: 4.423610199112235, 3: 7.323228164365228, 4: 6.029486828493004, 5: 4.305346576453531}","{0: 6.32540916246184, 1: 9.156297404801656, 2: 5.489739813978918, 3: 8.966987581081675, 4: 7.97095370839868, 5: 6.273394939851487}","{0: 5.18225492794724, 1: 8.589145224094983, 2: 3.7139531115740776, 3: 6.891462337734431, 4: 5.010196672312952, 5: 4.7601960855920264}"
0.03296703296703297,"{0: 11.212486418934196, 1: 27.21923144764879, 2: 6.0231914450390285, 3: 18.590403787643258, 4: 20.813909929095882, 5: 13.217349577507514}","{0: 9.026334215644647, 1: 20.54019268120692, 2: 5.670856348852826, 3: 16.412410882644274, 4: 20.005817416605304, 5: 13.208727066446116}","{0: 13.539418599733125, 1: 22.747684842324574, 2: 7.929588693867195, 3: 12.89464010884948, 4: 28.903525714543278, 5: 15.095928749055}","{0: 12.167269850502038, 1: 18.73507783354409, 2: 8.056057677561027, 3: 14.821837137811457, 4: 19.79200735049872, 5: 15.525624862603514}"
0.03571428571428571,"{0: 4.731640912097128, 1: 4.213474462791771, 2: 2.860028703522129, 3: 2.4125544467205824, 4: 7.714291831357071, 5: 2.972222222222223}","{0: 4.813303576074566, 1: 6.55381501229166, 2: 2.2963144268115077, 3: 5.275745452997819, 4: 7.83726693724806, 5: 2.9926591089959302}","{0: 4.8906701850875525, 1: 5.300217634940751, 2: 2.9833599296700406, 3: 3.8561943276635895, 4: 11.060506120676168, 5: 2.9608582863172614}","{0: 4.620996570164883, 1: 2.9530767862839835, 2: 3.176675892876839, 3: 2.2160484518701993, 4: 7.955633483992278, 5: 3.548367467919956}"
