,K,I,KNN,GP
0.0,"{0: 15.745202531466836, 1: 9.618254381778456, 2: 10.059408155842162, 3: 11.905485027582312, 4: 15.725907584865967, 5: 16.935417643097395}","{0: 15.664030455936382, 1: 12.166550399043796, 2: 11.40021773386542, 3: 12.071059837514403, 4: 12.0216965477133, 5: 17.571733961095852}","{0: 12.707141487282632, 1: 10.593403826423234, 2: 14.58172889806119, 3: 12.837436202829979, 4: 11.823084183525514, 5: 16.93349843876179}","{0: 12.668825081883591, 1: 13.565041093068146, 2: 14.21911851333364, 3: 13.648501364773631, 4: 10.802256612984724, 5: 16.280019357712696}"
0.0027472527472527475,"{0: 4.5576523910470375, 1: 7.582871172677409, 2: 8.356404762695393, 3: 13.429342092539699, 4: 7.9833350060057775, 5: 9.250656579383662}","{0: 8.209151133034052, 1: 10.87713688032444, 2: 8.489478471706871, 3: 13.377091883692259, 4: 7.976310534177443, 5: 11.079248386830635}","{0: 7.1993638281168835, 1: 9.481477012404962, 2: 11.001318190158742, 3: 13.081771256022288, 4: 8.969106920030402, 5: 8.118424676530108}","{0: 5.74146971499156, 1: 7.855973799736061, 2: 7.3395994858751195, 3: 13.304592372650344, 4: 8.083387640049907, 5: 9.28312117186611}"
0.005494505494505495,"{0: 7.707049319074664, 1: 18.816483619782673, 2: 15.939188593003673, 3: 19.610283570697558, 4: 24.88708246379366, 5: 26.6892238127655}","{0: 12.66516615938762, 1: 23.411823367058066, 2: 14.829416437121397, 3: 23.273511405115343, 4: 28.04484684770195, 5: 26.493012407508008}","{0: 15.373571953772258, 1: 24.966708280861884, 2: 18.620487288869313, 3: 25.295440226920103, 4: 25.908033447632558, 5: 23.88267690937387}","{0: 15.685607746519961, 1: 21.522298874596522, 2: 12.666462126881907, 3: 22.45511171702036, 4: 25.247937111411485, 5: 24.535529722732836}"
0.008241758241758242,"{0: 3.8582380304012656, 1: 7.7069004355062, 2: 8.141894861449952, 3: 9.88288856507482, 4: 5.379515319104345, 5: 6.780700085606924}","{0: 4.804359379075142, 1: 8.176030464335124, 2: 7.611508787445143, 3: 9.696686528115041, 4: 6.086383627976359, 5: 6.105622903186828}","{0: 4.5434072790957085, 1: 7.987038787521881, 2: 7.363935914291023, 3: 9.577165951728196, 4: 5.170109507736232, 5: 5.500833050592217}","{0: 5.582075152297247, 1: 7.972691133547213, 2: 6.501632544881241, 3: 9.971586212613124, 4: 5.1965004913173, 5: 6.31841396268873}"
0.01098901098901099,"{0: 6.164896916472223, 1: 11.275604251348044, 2: 10.444883668898633, 3: 16.431343313430055, 4: 6.93806008085279, 5: 13.362157914440328}","{0: 6.300370323707711, 1: 14.930968496621377, 2: 12.313804307838758, 3: 16.632714180053537, 4: 7.9863852371015325, 5: 14.807437141474564}","{0: 6.260798099975554, 1: 14.110369553953872, 2: 12.312919396168551, 3: 17.14081149184583, 4: 8.821923724388514, 5: 12.243598033271436}","{0: 6.289149114520168, 1: 13.958440994762908, 2: 10.377605826905395, 3: 16.8725470917646, 4: 8.029579010801957, 5: 14.038675885975406}"
0.013736263736263736,"{0: 12.171023655933544, 1: 13.503969278021195, 2: 14.693449251433835, 3: 14.142912565291955, 4: 12.231436065415274, 5: 10.634809864957637}","{0: 11.472191740109038, 1: 14.89196605850763, 2: 18.666109063764857, 3: 14.847171726610561, 4: 11.865244031916571, 5: 15.256249308834509}","{0: 9.292646237697062, 1: 15.062291455105155, 2: 21.446213135661147, 3: 12.585660750039958, 4: 7.780181554894571, 5: 11.98454856556838}","{0: 9.454748037565672, 1: 13.407592071430184, 2: 11.72665316668698, 3: 11.785775694707684, 4: 9.660839515459344, 5: 13.559612441980239}"
0.019230769230769232,"{0: 11.093291637345027, 1: 13.617413664198688, 2: 7.732140738489971, 3: 17.092948845217673, 4: 14.05031086606122, 5: 6.770319482374428}","{0: 10.595886261833787, 1: 13.244365295792619, 2: 11.444830220152513, 3: 17.612085185619154, 4: 17.10446821997713, 5: 9.43207202291901}","{0: 9.561688172466965, 1: 11.658394063129562, 2: 11.584292501002565, 3: 14.842586303209224, 4: 14.637905192618952, 5: 10.713003333025652}","{0: 11.074133476668862, 1: 13.62278194323939, 2: 7.696833027424751, 3: 17.113229077490093, 4: 14.0719825384735, 5: 7.760660340693324}"
0.02197802197802198,"{0: 6.484809247424117, 1: 8.908173080423737, 2: 6.389300796599035, 3: 7.220460400781538, 4: 8.309923349051543, 5: 5.417452287286815}","{0: 4.420028685938716, 1: 8.937138504874687, 2: 8.778584070681584, 3: 6.313246632129918, 4: 7.012926479304802, 5: 6.140676506815618}","{0: 4.973486849891647, 1: 8.283410901192054, 2: 9.54076848845569, 3: 5.5016802660710775, 4: 6.607168249348409, 5: 5.957185777936503}","{0: 6.3005239245247395, 1: 7.255027853537611, 2: 5.400146781503757, 3: 4.421922466657144, 4: 7.104754738458035, 5: 5.337660898207568}"
0.024725274725274724,"{0: 5.519981147241339, 1: 3.8820255974991364, 2: 6.037234061911888, 3: 3.4232004869951376, 4: 3.6888526588494894, 5: 5.940071301212794}","{0: 4.3525368363106605, 1: 4.412859977207875, 2: 6.223431652375609, 3: 3.771553798992497, 4: 4.162643410223288, 5: 5.335902971355401}","{0: 4.719442271595111, 1: 3.7404549414575645, 2: 6.7300899015024, 3: 3.390635222861075, 4: 3.034300911560465, 5: 5.106129793163282}","{0: 5.224910170168023, 1: 3.4807299348741463, 2: 4.7056523973409865, 3: 2.8563755264575454, 4: 1.8468627378443037, 5: 5.372221183330196}"
0.027472527472527472,"{0: 1.6237751240607101, 1: 3.1426504608358985, 2: 2.4255321121245967, 3: 4.391854393191139, 4: 1.5112361851291292, 5: 3.4622449114599103}","{0: 1.074947844803388, 1: 3.2379594388975494, 2: 2.340329489136822, 3: 5.1501855114991075, 4: 1.5895667763621824, 5: 2.118154734900408}","{0: 1.543698310684171, 1: 3.781941045982299, 2: 2.2839155635501744, 3: 5.016447073384881, 4: 1.6492725996884336, 5: 2.593144584032109}","{0: 1.2270625166977023, 1: 3.6783331095538294, 2: 2.0057019415887076, 3: 4.724140545321957, 4: 1.4097827924866206, 5: 3.28795758175748}"
