is_val_error,reg,stepSize,lastKDays,kout,kin,time_ix,hy_ix,rmse,mae
True,Lasso,2,50,0,0,29,0,48.80023695587657,47.30223612807598
True,Lasso,2,50,0,0,29,1,36.29762023901526,35.02642753642148
True,Lasso,2,50,0,0,29,2,36.8935433204341,35.641557415748004
True,Lasso,2,50,0,0,29,3,42.89052503793881,41.79285620901323
True,Lasso,2,50,0,0,29,4,48.80023695587657,47.30223612807598
True,Lasso,2,50,0,0,29,5,49.185040763343764,47.370617485022
True,Lasso,2,50,0,0,29,6,49.185040763343764,47.370617485022
True,Lasso,2,50,0,0,29,7,49.185040763343764,47.370617485022
True,Lasso,2,50,0,0,31,0,33.16552961922941,32.593585820336436
True,Lasso,2,50,0,0,31,1,40.1918462732485,39.443669008290534
True,Lasso,2,50,0,0,31,2,39.61083545137319,38.8577028841299
True,Lasso,2,50,0,0,31,3,33.81986625748077,32.99803332370049
True,Lasso,2,50,0,0,31,4,33.16552961922941,32.593585820336436
True,Lasso,2,50,0,0,31,5,33.2534524970356,32.539763573567036
True,Lasso,2,50,0,0,31,6,33.2534524970356,32.539763573567036
True,Lasso,2,50,0,0,31,7,33.2534524970356,32.539763573567036
True,Lasso,2,50,0,0,33,0,7.54459212355393,6.843870144043336
True,Lasso,2,50,0,0,33,1,11.50685816731864,9.582237606137666
True,Lasso,2,50,0,0,33,2,11.047934491445705,9.191675285321086
True,Lasso,2,50,0,0,33,3,8.824394517973309,7.457172581071876
True,Lasso,2,50,0,0,33,4,7.54459212355393,6.843870144043336
True,Lasso,2,50,0,0,33,5,8.041434802898628,6.989209928175161
True,Lasso,2,50,0,0,33,6,8.041434802898628,6.989209928175161
True,Lasso,2,50,0,0,33,7,8.041434802898628,6.989209928175161
True,Lasso,2,50,0,0,35,0,15.00212970399919,9.71236647492025
True,Lasso,2,50,0,0,35,1,10.02691936373565,6.798919054353363
True,Lasso,2,50,0,0,35,2,9.779411207537699,6.591155408467532
True,Lasso,2,50,0,0,35,3,9.109923037831248,5.578660397834454
True,Lasso,2,50,0,0,35,4,15.00212970399919,9.71236647492025
True,Lasso,2,50,0,0,35,5,16.22897030786698,10.583288794981508
True,Lasso,2,50,0,0,35,6,16.22897030786698,10.583288794981508
True,Lasso,2,50,0,0,35,7,16.22897030786698,10.583288794981508
True,Lasso,2,50,0,0,37,0,29.556456856739654,27.35061813481082
True,Lasso,2,50,0,0,37,1,24.346191139243313,23.959479076525273
True,Lasso,2,50,0,0,37,2,24.829563641760267,24.44384275219264
True,Lasso,2,50,0,0,37,3,28.02685896404013,27.616226380291078
True,Lasso,2,50,0,0,37,4,29.556456856739654,27.35061813481082
True,Lasso,2,50,0,0,37,5,29.96951086485402,27.307030374450065
True,Lasso,2,50,0,0,37,6,29.96951086485402,27.307030374450065
True,Lasso,2,50,0,0,37,7,29.96951086485402,27.307030374450065
True,Lasso,2,50,0,0,39,0,18.52547720037967,14.72629520252
True,Lasso,2,50,0,0,39,1,18.072007629857104,15.563045442487214
True,Lasso,2,50,0,0,39,2,17.796462732117835,15.394058530628941
True,Lasso,2,50,0,0,39,3,15.65892253633064,13.860052447222879
True,Lasso,2,50,0,0,39,4,18.52547720037967,14.72629520252
True,Lasso,2,50,0,0,39,5,19.310366587199567,15.637981941573102
True,Lasso,2,50,0,0,39,6,19.310366587199567,15.637981941573102
True,Lasso,2,50,0,0,39,7,19.310366587199567,15.637981941573102
True,Lasso,2,50,0,0,41,0,22.51505170668788,21.79341784801456
True,Lasso,2,50,0,0,41,1,14.69937163343892,12.984295177883384
True,Lasso,2,50,0,0,41,2,15.045509186000045,13.30854528451794
True,Lasso,2,50,0,0,41,3,18.701987229119858,16.571903271211507
True,Lasso,2,50,0,0,41,4,22.51505170668788,21.79341784801456
True,Lasso,2,50,0,0,41,5,23.108955462851917,22.507500023313025
True,Lasso,2,50,0,0,41,6,23.108955462851917,22.507500023313025
True,Lasso,2,50,0,0,41,7,23.108955462851917,22.507500023313025
True,Lasso,2,50,0,0,43,0,32.72379676445253,30.0692661273071
True,Lasso,2,50,0,0,43,1,24.92910006678795,20.58423486262315
True,Lasso,2,50,0,0,43,2,25.03639494303162,20.904194882871526
True,Lasso,2,50,0,0,43,3,26.47830730473403,24.04626694761255
True,Lasso,2,50,0,0,43,4,32.72379676445253,30.0692661273071
True,Lasso,2,50,0,0,43,5,34.046811914803186,30.95566127238138
True,Lasso,2,50,0,0,43,6,34.046811914803186,30.95566127238138
True,Lasso,2,50,0,0,43,7,34.046811914803186,30.95566127238138
True,Lasso,2,50,0,0,45,0,67.99674279718046,61.74115976475562
True,Lasso,2,50,0,0,45,1,69.62322395751426,65.82853686603877
True,Lasso,2,50,0,0,45,2,69.64502136902875,65.80416746894254
True,Lasso,2,50,0,0,45,3,69.62251599120943,65.39727463813749
True,Lasso,2,50,0,0,45,4,67.99674279718046,61.74115976475562
True,Lasso,2,50,0,0,45,5,67.58949033610796,60.42296167983026
True,Lasso,2,50,0,0,45,6,67.58949033610796,60.42296167983026
True,Lasso,2,50,0,0,45,7,67.58949033610796,60.42296167983026
True,Lasso,2,50,0,0,47,0,15.590904943800513,11.960001869745703
True,Lasso,2,50,0,0,47,1,14.141067041369864,11.416809442946082
True,Lasso,2,50,0,0,47,2,14.092084675626735,11.40654580197206
True,Lasso,2,50,0,0,47,3,13.718447136765898,10.94455343500535
True,Lasso,2,50,0,0,47,4,15.590904943800513,11.960001869745703
True,Lasso,2,50,0,0,47,5,16.915862088478615,13.689223093459296
True,Lasso,2,50,0,0,47,6,16.915862088478615,13.689223093459296
True,Lasso,2,50,0,0,47,7,16.915862088478615,13.689223093459296
True,Lasso,2,50,0,0,49,0,17.716775724451605,16.915973166500248
True,Lasso,2,50,0,0,49,1,18.35647764661625,18.03338903952568
True,Lasso,2,50,0,0,49,2,17.99800824420473,17.68788281390736
True,Lasso,2,50,0,0,49,3,15.086909617306898,14.853979593143487
True,Lasso,2,50,0,0,49,4,17.716775724451605,16.915973166500248
True,Lasso,2,50,0,0,49,5,19.38443354069551,17.847883856022975
True,Lasso,2,50,0,0,49,6,19.38443354069551,17.847883856022975
True,Lasso,2,50,0,0,49,7,19.38443354069551,17.847883856022975
True,Lasso,2,50,0,0,51,0,22.71784693249106,20.825678182139836
True,Lasso,2,50,0,0,51,1,24.485189252302188,22.675210757227983
True,Lasso,2,50,0,0,51,2,24.171289179361015,22.328029507379387
True,Lasso,2,50,0,0,51,3,21.13656949951661,18.85585424693914
True,Lasso,2,50,0,0,51,4,22.71784693249106,20.825678182139836
True,Lasso,2,50,0,0,51,5,23.82828870483241,21.70318034402535
True,Lasso,2,50,0,0,51,6,23.82828870483241,21.70318034402535
True,Lasso,2,50,0,0,51,7,23.82828870483241,21.70318034402535
True,Lasso,2,50,0,0,53,0,10.772341584344947,9.436208149975347
True,Lasso,2,50,0,0,53,1,7.680657495065231,6.5251986349291515
True,Lasso,2,50,0,0,53,2,7.8029646797831305,6.517809048564542
True,Lasso,2,50,0,0,53,3,7.957734824038415,7.020027927768202
True,Lasso,2,50,0,0,53,4,10.772341584344947,9.436208149975347
