is_val_error,reg,stepSize,lastKDays,kout,kin,time_ix,hy_ix,rmse,mae
True,SVR,2,100,0,0,29,0,52.962608887010674,51.28281720725594
True,SVR,2,100,0,0,29,1,52.89908246033439,51.22441713184832
True,SVR,2,100,0,0,29,2,51.7117407303604,50.497272740619046
True,SVR,2,100,0,0,29,3,49.41050603006492,48.611999511481336
True,SVR,2,100,0,0,29,4,34.12281755774875,32.460862980816366
True,SVR,2,100,0,0,29,5,35.201100575525885,30.694654713136014
True,SVR,2,100,0,0,31,0,28.32258688801415,27.48194363145218
True,SVR,2,100,0,0,31,1,28.310735098770177,27.476795915468358
True,SVR,2,100,0,0,31,2,28.424936463594253,27.919229760339544
True,SVR,2,100,0,0,31,3,29.11288324249281,28.587320528733386
True,SVR,2,100,0,0,31,4,42.284402626615105,41.403095037098126
True,SVR,2,100,0,0,31,5,40.99818241830608,40.01214887132225
True,SVR,2,100,0,0,33,0,5.8999265688496605,5.01798961762903
True,SVR,2,100,0,0,33,1,5.870505600394017,4.992396176290286
True,SVR,2,100,0,0,33,2,4.41021339193897,3.3021567814851394
True,SVR,2,100,0,0,33,3,4.954836735325836,4.4801736683121876
True,SVR,2,100,0,0,33,4,5.386365727907113,4.626629949678713
True,SVR,2,100,0,0,33,5,5.962374882609042,2.874187636767298
True,SVR,2,100,0,0,35,0,16.29549209887196,12.842236169076614
True,SVR,2,100,0,0,35,1,16.263038334747815,12.834861690766047
True,SVR,2,100,0,0,35,2,13.950809596269425,11.289750112991337
True,SVR,2,100,0,0,35,3,10.009731324805038,8.068593125073223
True,SVR,2,100,0,0,35,4,7.159446466755968,5.903991054214084
True,SVR,2,100,0,0,35,5,7.903943836651836,6.531829539597638
True,SVR,2,100,0,0,37,0,26.18317073747867,23.09033048485144
True,SVR,2,100,0,0,37,1,26.202823121433433,23.132543026426863
True,SVR,2,100,0,0,37,2,25.08737975000686,23.20857021245001
True,SVR,2,100,0,0,37,3,24.092588785109086,23.245943937023156
True,SVR,2,100,0,0,37,4,21.058984528630138,20.161732677407215
True,SVR,2,100,0,0,37,5,15.318210674376543,14.40303767419421
True,SVR,2,100,0,0,39,0,21.090141755307805,18.35033417887878
True,SVR,2,100,0,0,39,1,21.06633575437458,18.32744893164532
True,SVR,2,100,0,0,39,2,19.341296465515775,16.39483123558242
True,SVR,2,100,0,0,39,3,17.861489657339636,15.017719500224068
True,SVR,2,100,0,0,39,4,18.821136630007747,14.992972828691663
True,SVR,2,100,0,0,39,5,26.125188748301216,22.220781469710463
True,SVR,2,100,0,0,41,0,19.77108034211925,19.490300718216123
True,SVR,2,100,0,0,41,1,19.740731998261058,19.46052790211966
True,SVR,2,100,0,0,41,2,18.081816093400953,17.67609798143263
True,SVR,2,100,0,0,41,3,16.162408828600633,15.228249176356677
True,SVR,2,100,0,0,41,4,12.892696175635713,11.660762601374648
True,SVR,2,100,0,0,41,5,12.82698136029667,10.65169927998734
True,SVR,2,100,0,0,43,0,32.746807048263854,27.734828916199707
True,SVR,2,100,0,0,43,1,32.705667468288155,27.712360803580992
True,SVR,2,100,0,0,43,2,29.950251389043714,25.897188242688728
True,SVR,2,100,0,0,43,3,26.63290104411873,22.612958391500314
True,SVR,2,100,0,0,43,4,25.017194783261047,16.809941669808484
True,SVR,2,100,0,0,43,5,26.047076845577998,12.85839214073591
True,SVR,2,100,0,0,45,0,72.38229121562966,64.37159636048854
True,SVR,2,100,0,0,45,1,72.40797382076407,64.40883836403462
True,SVR,2,100,0,0,45,2,72.91223512054346,66.07898134972159
True,SVR,2,100,0,0,45,3,74.26903184849887,68.67908008664938
True,SVR,2,100,0,0,45,4,77.492204832257,72.20571633480705
True,SVR,2,100,0,0,45,5,83.88631592907493,77.32487206589435
True,SVR,2,100,0,0,47,0,17.360721928554764,14.723603265516228
True,SVR,2,100,0,0,47,1,17.331493042075987,14.687552971189001
True,SVR,2,100,0,0,47,2,15.717575865358908,12.689635044853958
True,SVR,2,100,0,0,47,3,14.862212265849218,13.144263500321381
True,SVR,2,100,0,0,47,4,15.399447573034765,13.387238961373168
True,SVR,2,100,0,0,47,5,14.880274033915688,12.125981411708258
True,SVR,2,100,0,0,49,0,14.054058222952165,11.848098900943151
