is_val_error,reg,stepSize,lastKDays,kout,kin,time_ix,hy_ix,rmse,mae
False,GPR,2,20,0,-1,19,-1,8.02677794023372,6.048554040100146
False,GPR,2,20,0,-1,21,-1,12.528953042855322,9.74300665092543
False,GPR,2,20,0,-1,23,-1,5.928112824478378,5.464224663855535
False,GPR,2,20,0,-1,25,-1,7.68656563295576,5.9665671245504015
False,GPR,2,20,0,-1,27,-1,4.456189770754228,3.790629632483631
False,GPR,2,20,1,-1,19,-1,10.187849821862347,6.992162896524978
False,GPR,2,20,1,-1,21,-1,34.28138288282792,19.014799951885394
False,GPR,2,20,1,-1,23,-1,7.233498148513813,4.39703010341354
False,GPR,2,20,1,-1,25,-1,13.231623285756239,9.091858001295693
False,GPR,2,20,1,-1,27,-1,6.420730439393943,3.59643174955099
False,GPR,2,20,2,-1,19,-1,8.787195445945763,5.854777442208641
False,GPR,2,20,2,-1,21,-1,10.920602458984188,9.31137066154599
False,GPR,2,20,2,-1,23,-1,13.341657850719555,11.580162868047294
False,GPR,2,20,2,-1,25,-1,11.0164366069623,7.758016441147647
False,GPR,2,20,2,-1,27,-1,8.537000496721275,7.028180438482572
False,GPR,2,20,3,-1,19,-1,10.52973878091489,8.098803750168285
False,GPR,2,20,3,-1,21,-1,8.131067589512675,6.9097273565167185
False,GPR,2,20,3,-1,23,-1,7.525491566806229,7.084674690434003
False,GPR,2,20,3,-1,25,-1,9.470563400438849,7.732784804684251
False,GPR,2,20,3,-1,27,-1,9.844010149372824,8.569712302070327
