is_val_error,reg,stepSize,lastKDays,kout,kin,time_ix,hy_ix,rmse,mae
False,Lasso,2,1,0,-1,0,7,14.218887614882457,13.358433725814807
False,Lasso,2,1,0,-1,2,7,19.155609589408147,12.988119387740985
False,Lasso,2,1,0,-1,4,7,5.229218282577667,4.250179811392051
False,Lasso,2,1,0,-1,6,7,11.839138988058593,9.173665843542288
False,Lasso,2,1,0,-1,8,7,4.41230925075731,4.112337614662411
False,Lasso,2,1,0,-1,10,7,6.292852443096331,5.818932672714716
False,Lasso,2,1,0,-1,12,7,2.305735407028679,1.9214362604305937
False,Lasso,2,1,0,-1,14,7,6.842528562856643,6.34657942588424
False,Lasso,2,1,0,-1,16,7,5.3068218846122965,4.765889575790431
False,Lasso,2,1,0,-1,18,7,4.767079007733653,3.4040122041118885
False,Lasso,2,1,0,-1,20,7,18.29682970366762,16.08597439655878
False,Lasso,2,1,0,-1,22,7,6.353876790564587,4.708545187461641
False,Lasso,2,1,0,-1,24,7,4.0385321584645295,3.4851926899380534
False,Lasso,2,1,0,-1,26,7,5.083340588369094,4.433419537139632
False,Lasso,2,1,0,-1,28,7,6.602657159401779,5.822175356392228
False,Lasso,2,1,0,-1,30,7,3.290791848291256,2.9570906541725073
False,Lasso,2,1,0,-1,32,7,4.776156457016821,3.4246257039565307
False,Lasso,2,1,0,-1,34,7,3.572346972387,3.3571536057665283
False,Lasso,2,1,0,-1,36,7,1.42098643297384,1.103622841293705
False,Lasso,2,1,0,-1,38,7,2.833290590904659,2.5957883319908412
False,Lasso,2,1,0,-1,40,7,7.200680674469142,6.870549528383291
False,Lasso,2,1,0,-1,42,7,11.467986780492138,9.790312154558693
