is_val_error,reg,stepSize,lastKDays,kout,kin,time_ix,hy_ix,rmse,mae
True,XGBRFRegressor,2,10,0,0,9,0,3.7495748772438646,3.412259843614367
True,XGBRFRegressor,2,10,0,0,9,1,23.12395643478596,23.078791611724427
True,XGBRFRegressor,2,10,0,0,9,2,23.123834064133728,23.078916672203274
True,XGBRFRegressor,2,10,0,0,9,3,20.898910354484354,20.850416236453587
True,XGBRFRegressor,2,10,0,0,9,4,20.897602193365582,20.851666424009533
True,XGBRFRegressor,2,10,0,0,9,5,1.9409367490674316,1.6685564253065313
True,XGBRFRegressor,2,10,0,0,9,6,1.847743188754494,1.5262462827894414
True,XGBRFRegressor,2,10,0,0,9,7,23.12395643478596,23.078791611724427
True,XGBRFRegressor,2,10,0,0,9,8,23.123834064133728,23.078916672203274
True,XGBRFRegressor,2,10,0,0,9,9,20.898910354484354,20.850416236453587
True,XGBRFRegressor,2,10,0,0,9,10,20.897602193365582,20.851666424009533
True,XGBRFRegressor,2,10,0,0,9,11,1.9409367490674316,1.6685564253065313
True,XGBRFRegressor,2,10,0,0,9,12,1.847743188754494,1.5262462827894414
True,XGBRFRegressor,2,10,0,0,11,0,12.1699673128008,10.405853805910565
True,XGBRFRegressor,2,10,0,0,11,1,56.33221367043726,55.02483261092274
True,XGBRFRegressor,2,10,0,0,11,2,56.33554388611264,55.02796255016097
True,XGBRFRegressor,2,10,0,0,11,3,51.765858025049376,50.38691242996622
True,XGBRFRegressor,2,10,0,0,11,4,51.799630488274126,50.41821210050353
True,XGBRFRegressor,2,10,0,0,11,5,10.807607207832186,9.146820602785565
True,XGBRFRegressor,2,10,0,0,11,6,11.239898726250258,9.481131770184653
True,XGBRFRegressor,2,10,0,0,11,7,56.33221367043726,55.02483261092274
True,XGBRFRegressor,2,10,0,0,11,8,56.33554388611264,55.02796255016097
True,XGBRFRegressor,2,10,0,0,11,9,51.765858025049376,50.38691242996622
True,XGBRFRegressor,2,10,0,0,11,10,51.799630488274126,50.41821210050353
True,XGBRFRegressor,2,10,0,0,11,11,10.807607207832186,9.146820602785565
True,XGBRFRegressor,2,10,0,0,11,12,11.239898726250258,9.481131770184653
True,XGBRFRegressor,2,10,0,0,13,0,7.283298454363212,6.161333205207948
True,XGBRFRegressor,2,10,0,0,13,1,61.33520666754905,60.83699384852061
True,XGBRFRegressor,2,10,0,0,13,2,61.33982787772653,60.842574154573775
True,XGBRFRegressor,2,10,0,0,13,3,55.7542112380072,55.209224000809684
True,XGBRFRegressor,2,10,0,0,13,4,55.79963481818731,55.265026187139846
True,XGBRFRegressor,2,10,0,0,13,5,8.137044605416067,6.874391041104758
True,XGBRFRegressor,2,10,0,0,13,6,7.53025510795253,6.479688765510683
True,XGBRFRegressor,2,10,0,0,13,7,61.33520666754905,60.83699384852061
True,XGBRFRegressor,2,10,0,0,13,8,61.33982787772653,60.842574154573775
True,XGBRFRegressor,2,10,0,0,13,9,55.7542112380072,55.209224000809684
True,XGBRFRegressor,2,10,0,0,13,10,55.79963481818731,55.265026187139846
