kout,kin,rmse
0,0,15.133449969941365
0,1,16.278660168694895
0,2,16.92536448033665
0,3,15.899730329172243
0,4,17.051089351144824
1,0,19.523701575942848
1,1,20.989265397144848
1,2,17.982106309405562
1,3,19.173861875201244
1,4,19.390726850715097
2,0,17.217702501610802
2,1,16.482942201941988
2,2,16.9307816184779
2,3,18.352846230007593
2,4,17.7503831997863
3,0,15.376184541437938
3,1,13.949605860423828
3,2,12.690120445988837
3,3,12.726211916574965
3,4,16.189415754011986
4,0,16.17859257376614
4,1,17.198920274291634
4,2,16.550698945445035
4,3,16.894995956202347
4,4,15.440976671845657
5,0,16.274452686675428
5,1,16.82323369725603
5,2,15.47248286692263
5,3,16.407707096464428
5,4,16.509004449376906
