kout,kin,rmse
0,0,16.0814808519336
0,1,17.126563058732035
0,2,17.739378980243508
0,3,16.74450746582382
0,4,19.598869568933623
1,0,18.35735479603966
1,1,25.326993585313808
1,2,19.488412208478803
1,3,23.444969602899132
1,4,20.47050543974499
2,0,17.84154624935258
2,1,17.453644662900064
2,2,17.83170044376314
2,3,19.48922765240291
2,4,19.447209871333218
3,0,13.303997795556525
3,1,13.003938576845787
3,2,12.88583700389254
3,3,12.787973861253512
3,4,13.023545309066638
4,0,15.784557076423795
4,1,17.17899364870553
4,2,16.385077437684632
4,3,17.35963669464005
4,4,15.659335993812237
5,0,15.616830431587784
5,1,16.26017800603271
5,2,16.083469293397368
5,3,18.163946764977158
5,4,15.759878788907445
