kout,kin,rmse
0,0,15.107036629428666
0,1,15.960798077290622
0,2,16.528570276674206
0,3,15.294778423730632
0,4,16.66236661515891
1,0,19.603927126045615
1,1,19.309057313011085
1,2,19.4801874369586
1,3,20.539129629108345
1,4,18.578063531363604
2,0,16.818201131713764
2,1,17.460461852573278
2,2,17.437723879538844
2,3,19.369227154318278
2,4,17.751077118628697
3,0,15.185066130078656
3,1,13.411399772397457
3,2,12.717137526793152
3,3,12.801535958811373
3,4,14.364689025848216
4,0,16.102179797365626
4,1,16.233657697727114
4,2,15.110233728908295
4,3,16.533254012951232
4,4,15.049821992346534
5,0,16.4601810080174
5,1,17.03789404279472
5,2,15.56574075859565
5,3,16.250928549957138
5,4,16.68415316917563
